season;team_api_id;player_id
2010/2011;9985;148335
2010/2011;9989;26594
2010/2011;9989;37337
2010/2011;9989;36845
2010/2011;9989;174546
2010/2011;9989;149174
2010/2011;9989;111973
2010/2011;9989;213111
2010/2011;9989;33098
2010/2011;8342;31226
2010/2011;8342;51841
2010/2011;8342;38336
2010/2011;8342;52280
2010/2011;9994;110140
2010/2011;9997;39890
2010/2011;9997;192905
2010/2011;9997;38347
2010/2011;9997;3329
2010/2011;9997;36522
2010/2011;9997;149150
2010/2011;9997;25749
2010/2011;9997;37866
2010/2011;9997;38439
2010/2011;9997;181053
2010/2011;9997;40768
2010/2011;9997;5016
2010/2011;8203;39573
2010/2011;8203;78902
2010/2011;8203;67950
2010/2011;8203;39389
2010/2011;8203;80184
2010/2011;8203;67941
2010/2011;8203;37112
2010/2011;8203;38969
2010/2011;8203;67957
2010/2011;8203;67952
2010/2011;8203;148286
2010/2011;8203;45490
2010/2011;8635;38378
2010/2011;8635;148302
2010/2011;10001;37839
2010/2011;10001;108807
2010/2011;9991;21726
2010/2011;9991;181842
2010/2011;9986;37571
2010/2011;9986;166684
2010/2011;9986;40520
2010/2011;8342;37858
2010/2011;8342;35412
2010/2011;9987;32863
2010/2011;9987;38794
2010/2011;10000;37100
2010/2011;10000;46877
2010/2011;10000;131530
2010/2011;10000;208986
2010/2011;10000;98407
2010/2011;6351;101426
2010/2011;9985;111858
2010/2011;8203;178291
2010/2011;8203;148315
2010/2011;8635;94553
2010/2011;8635;69653
2010/2011;8635;12692
2010/2011;9997;38962
2010/2011;9997;38354
2010/2011;9997;104415
2010/2011;9997;178485
2010/2011;9997;68120
2010/2011;9994;38289
2010/2011;9994;38290
2010/2011;9994;95609
2010/2011;8571;39625
2010/2011;8571;26502
2010/2011;9989;26224
2010/2011;9989;27423
2010/2011;9984;38186
2010/2011;8342;27508
2010/2011;8342;39878
2010/2011;6351;40677
2010/2011;6351;186188
2010/2011;10000;37886
2010/2011;9986;166686
2010/2011;9986;119118
2010/2011;9994;25465
2010/2011;9991;27838
2010/2011;9991;178096
2010/2011;9991;26260
2010/2011;9989;181073
2010/2011;9985;148325
2010/2011;8571;38434
2010/2011;8571;33685
2010/2011;10001;182605
2010/2011;10001;37025
2010/2011;9997;208718
2010/2011;8203;94284
2010/2011;8203;38956
2010/2011;8203;154433
2010/2011;9984;37021
2010/2011;8635;164694
2010/2011;9985;201101
2010/2011;9985;156551
2010/2011;9987;94462
2010/2011;8571;37887
2010/2011;9986;208676
2010/2011;9994;178293
2010/2011;10000;104377
2010/2011;8571;26109
2010/2011;8635;13423
2010/2011;9984;209855
2010/2011;9984;188231
2010/2011;9984;122116
2010/2011;9984;38251
2010/2011;9985;111025
2010/2011;9985;26116
2010/2011;9991;109332
2010/2011;9989;164582
2010/2011;9993;178284
2010/2011;10000;209567
2010/2011;9997;178486
2010/2011;9997;150746
2010/2011;8203;17276
2010/2011;8571;38312
2010/2011;9985;37983
2010/2011;9985;148315
2010/2011;10001;38348
2010/2011;9984;37051
2010/2011;9985;178481
2010/2011;9986;26264
2010/2011;9986;38246
2010/2011;8342;208699
2010/2011;8342;190854
2010/2011;9994;12099
2010/2011;9985;177872
2010/2011;9984;131403
2010/2011;9984;37909
2010/2011;10001;166664
2010/2011;10001;209782
2010/2011;9985;33620
2010/2011;9985;192905
2010/2011;9985;17276
2010/2011;9997;37972
2010/2011;9989;37529
2010/2011;9989;32760
2010/2011;9993;7226
2010/2011;9993;231006
2010/2011;9993;166679
2010/2011;10001;149206
2010/2011;10001;181066
2010/2011;9991;26771
2010/2011;6351;155268
2010/2011;9986;11336
2010/2011;9986;12405
2010/2011;9986;33605
2010/2011;9986;174247
2010/2011;9986;244065
2010/2011;9986;243240
2010/2011;9989;40281
2010/2011;9989;38255
2010/2011;9989;192323
2010/2011;9994;38273
2010/2011;9985;119117
2010/2011;9985;244128
2010/2011;8571;183548
2010/2011;8203;67959
2010/2011;10000;37981
2010/2011;9987;38368
2010/2011;6351;34025
2010/2011;9991;37440
2010/2011;9991;164732
2010/2011;10001;39848
2010/2011;9993;33622
2010/2011;9985;131531
2010/2011;9989;164694
2010/2011;9989;36843
2010/2011;9997;37984
2010/2011;10000;178484
2010/2011;6351;208672
2010/2011;9984;243250
2010/2011;9997;9203
2010/2011;8635;200607
2010/2011;6351;37367
2010/2011;9989;93987
2010/2011;9993;178283
2010/2011;9994;129918
2010/2011;8635;31316
2010/2011;8635;208672
2010/2011;8571;39772
2010/2011;9993;38380
2011/2012;8635;38391
2011/2012;8635;12692
2011/2012;8635;38389
2011/2012;8635;208493
2011/2012;8635;149150
2011/2012;8635;40536
2011/2012;8635;38253
2011/2012;8635;114333
2011/2012;8635;178249
2011/2012;8635;265123
2011/2012;8635;46552
2011/2012;8635;181276
2011/2012;9985;38797
2011/2012;9985;17276
2011/2012;9985;129462
2011/2012;9985;245653
2011/2012;9985;164229
2011/2012;9985;33620
2011/2012;9985;38969
2011/2012;9985;119117
2011/2012;9985;38382
2011/2012;9985;248689
2011/2012;9985;46335
2011/2012;9993;36873
2011/2012;9993;178481
2011/2012;9993;57078
2011/2012;9993;38800
2011/2012;9993;174363
2011/2012;9993;27508
2011/2012;9993;38784
2011/2012;9993;163613
2011/2012;9993;38371
2011/2012;9993;33622
2011/2012;9993;166679
2011/2012;9993;14487
2011/2012;9984;36835
2011/2012;9984;256197
2011/2012;9984;38342
2011/2012;9984;243250
2011/2012;9984;37047
2011/2012;9984;38789
2011/2012;9984;27110
2011/2012;9984;166670
2011/2012;9984;188231
2011/2012;9984;277766
2011/2012;9984;38251
2011/2012;9984;209855
2011/2012;10000;37900
2011/2012;10000;37903
2011/2012;10000;37100
2011/2012;10000;41005
2011/2012;10000;46877
2011/2012;10000;80678
2011/2012;10000;37886
2011/2012;10000;131530
2011/2012;10000;208984
2011/2012;10000;208852
2011/2012;10000;240044
2011/2012;9989;20747
2011/2012;9989;246552
2011/2012;9989;38255
2011/2012;9989;4863
2011/2012;9989;38788
2011/2012;9989;41947
2011/2012;9989;111973
2011/2012;9989;192323
2011/2012;9989;32760
2011/2012;9989;181073
2011/2012;9989;27423
2011/2012;9989;33098
2011/2012;9997;26589
2011/2012;9997;277845
2011/2012;9997;3329
2011/2012;9997;178486
2011/2012;9997;7683
2011/2012;9997;148313
2011/2012;9997;38354
2011/2012;9997;37972
2011/2012;9997;37866
2011/2012;9997;68120
2011/2012;9997;104415
2011/2012;9997;68226
2011/2012;10001;38341
2011/2012;10001;149211
2011/2012;10001;39848
2011/2012;10001;21834
2011/2012;10001;37953
2011/2012;10001;38339
2011/2012;10001;67896
2011/2012;10001;38343
2011/2012;10001;67890
2011/2012;10001;182605
2011/2012;10001;181066
2011/2012;10001;37025
2011/2012;9991;104378
2011/2012;9991;122055
2011/2012;9991;178096
2011/2012;9991;37440
2011/2012;9991;37667
